latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-33.566,-58.606,306.4,1.1,1,2021-02-22,0250,T,68,6.0NRT,293.3,8.4,N
-33.369,-60.156,304.8,1,1,2021-02-22,0250,T,44,6.0NRT,294.5,5.3,N
-28.443,-60.827,324,1,1,2021-02-22,0250,T,100,6.0NRT,293.7,21.3,N
-28.444,-60.838,311.2,1,1,2021-02-22,0250,T,82,6.0NRT,293.5,9.3,N
-28.446,-60.848,362.9,1,1,2021-02-22,0250,T,100,6.0NRT,296.6,96.1,N
-28.448,-60.858,356.7,1,1,2021-02-22,0250,T,100,6.0NRT,296.2,79.2,N
-28.434,-60.829,317.3,1,1,2021-02-22,0250,T,95,6.0NRT,293.2,14.6,N
-28.435,-60.839,314.4,1,1,2021-02-22,0250,T,89,6.0NRT,293.4,12.1,N
-25.566,-55.715,301.8,2.1,1.4,2021-02-22,0255,T,44,6.0NRT,291.6,13,N
-24.068,-59.726,316,1.2,1.1,2021-02-22,0255,T,92,6.0NRT,294.6,17.5,N
-24.07,-59.738,331.9,1.2,1.1,2021-02-22,0255,T,100,6.0NRT,295.3,41.2,N
-21.792,-56.287,302.7,2.3,1.5,2021-02-22,0255,T,51,6.0NRT,292.1,15.1,N
-22.666,-61.415,312,1.1,1,2021-02-22,0255,T,83,6.0NRT,295.7,10.7,N
-22.668,-61.426,339,1.1,1,2021-02-22,0255,T,100,6.0NRT,297.8,45,N
-22.67,-61.436,331.1,1.1,1,2021-02-22,0255,T,100,6.0NRT,296.6,31.9,N
-22.671,-61.447,306.5,1.1,1,2021-02-22,0255,T,66,6.0NRT,295.5,5.9,N
-22.659,-61.428,347.7,1.1,1,2021-02-22,0255,T,100,6.0NRT,297.4,62.8,N
-22.66,-61.438,366.7,1.1,1,2021-02-22,0255,T,100,6.0NRT,300.3,116.4,N
-22.662,-61.449,352.5,1.1,1,2021-02-22,0255,T,100,6.0NRT,298.9,73.6,N
-22.664,-61.459,334,1.1,1,2021-02-22,0255,T,100,6.0NRT,297.4,35.7,N
-21.28,-61.988,312.6,1.1,1,2021-02-22,0255,T,84,6.0NRT,295.5,11.1,N
-20.664,-60.214,308.6,1.3,1.1,2021-02-22,0255,T,74,6.0NRT,296.4,9.6,N
-17.965,-56.38,305.9,2.7,1.6,2021-02-22,0255,T,66,6.0NRT,275.9,33.9,N
-18.671,-63.379,328.3,1,1,2021-02-22,0255,T,100,6.0NRT,294.9,26.5,N
-18.446,-62.665,318,1.1,1,2021-02-22,0255,T,96,6.0NRT,295.6,15.8,N
-17.939,-62.197,323.3,1.1,1.1,2021-02-22,0255,T,100,6.0NRT,298.6,23,N
-17.94,-62.207,307.7,1.1,1.1,2021-02-22,0255,T,72,6.0NRT,296.2,7.3,N
-17.934,-62.193,320.4,1.1,1.1,2021-02-22,0255,T,100,6.0NRT,297.7,20,N
-17.935,-62.203,320.3,1.1,1.1,2021-02-22,0255,T,100,6.0NRT,297.1,19.8,N
-17.782,-61.872,313,1.2,1.1,2021-02-22,0255,T,86,6.0NRT,295.8,13.6,N
-15.655,-63.208,301.2,1.1,1,2021-02-22,0255,T,39,6.0NRT,268.7,6.6,N
8.753,-69.498,344.5,1,1,2021-02-22,0305,T,100,6.0NRT,292.7,51.2,N
8.752,-69.507,313.2,1,1,2021-02-22,0305,T,87,6.0NRT,291.6,10.9,N
9.561,-63.626,301.5,2.3,1.5,2021-02-22,0305,T,41,6.0NRT,287.8,15.4,N
